Q1,Q2_18-24,Q2_25-29,Q2_30-39,Q2_40-49,Q2_50-64,Q2_65 or older,Q3_Female,Q3_Male,Q3_Non-binary / Other,Q3_Prefer not to say,Q4_Married,Q4_Not married,Q5_American Indian or Alaska Native,Q5_Asian,Q5_Black or African American,Q5_Hispanic or Latino/a,Q5_Native Hawaiian or Pacific Islander,Q5_Other,Q5_White,Q6_Atheist,Q6_Buddhism,Q6_Catholic,Q6_Hinduism,Q6_Islam,Q6_Judaism,Q6_Other,Q6_Protestant / Other Christian Denomination,Q7_2 year degree,Q7_4 year degree,Q7_Doctorate,Q7_High school graduate / GED,Q7_Less than High School,Q7_Professional degree,Q7_Some college,"Q8_$100,000-$199,999","Q8_$200,000 or more","Q8_$30,000-$49,999","Q8_$50,000-$100,000","Q8_Less than $30,000",Q9_Democrat,Q9_Independent,Q9_Other third party,Q9_Republican,Q10_Definitely Right,Q10_Definitely Wrong,Q10_Somewhat Right,Q10_Somewhat Wrong,Q10_Unsure,Q11_Definitely Right,Q11_Definitely Wrong,Q11_Somewhat Right,Q11_Somewhat Wrong,Q11_Unsure,Q12_Donald Trump,Q12_Kamala Harris,Q12_Other,Q13_Extremely Excited,Q13_Not Very Excited,Q13_Not at all Excited,Q13_Somewhat Excited,Q13_Very Excited,Q14_Not Very Confident,Q14_Not at All Confident,Q14_Somewhat Confident,Q14_Unsure,Q14_Very Confident,Q15_Not Very Confident,Q15_Not at All Confident,Q15_Somewhat Confident,Q15_Unsure,Q15_Very Confident,Q16_Not Very Confident,Q16_Not at All Confident,Q16_Somewhat Confident,Q16_Unsure,Q16_Very Confident,Q17_211 Voter Hotline,Q17_Friends/Family,Q17_Religious/Community Organizations,Q17_Rhode Island Secretary of State's Website,Q17_Social Media,Q17_The Voter Information Handbook sent to my house,Q18_I did not feel like I had all the information necessary to vote early or by mail,Q18_I do not trust mail-in voting,"Q18_I do not trust mail-in voting,Today was the best option for my schedule",Q18_I forgot to vote early or by mail,"Q18_I forgot to vote early or by mail,I wanted to wait to learn more about the candidates","Q18_I forgot to vote early or by mail,Today was the best option for my schedule","Q18_I forgot to vote early or by mail,Today was the best option for my schedule,I did not feel like I had all the information necessary to vote early or by mail",Q18_I prefer voting on election day,"Q18_I prefer voting on election day,I did not feel like I had all the information necessary to vote early or by mail","Q18_I prefer voting on election day,I do not trust mail-in voting","Q18_I prefer voting on election day,I do not trust mail-in voting,I did not feel like I had all the information necessary to vote early or by mail","Q18_I prefer voting on election day,I do not trust mail-in voting,I wanted to wait to learn more about the candidates","Q18_I prefer voting on election day,I do not trust mail-in voting,I wanted to wait to learn more about the candidates,Today was the best option for my schedule","Q18_I prefer voting on election day,I do not trust mail-in voting,I wanted to wait to learn more about the candidates,Today was the best option for my schedule,I did not feel like I had all the information necessary to vote early or by mail","Q18_I prefer voting on election day,I do not trust mail-in voting,Today was the best option for my schedule","Q18_I prefer voting on election day,I forgot to vote early or by mail","Q18_I prefer voting on election day,I forgot to vote early or by mail,Today was the best option for my schedule","Q18_I prefer voting on election day,I wanted to wait to learn more about the candidates","Q18_I prefer voting on election day,I wanted to wait to learn more about the candidates,I did not feel like I had all the information necessary to vote early or by mail","Q18_I prefer voting on election day,I wanted to wait to learn more about the candidates,Today was the best option for my schedule","Q18_I prefer voting on election day,Today was the best option for my schedule",Q18_I wanted to wait to learn more about the candidates,"Q18_I wanted to wait to learn more about the candidates,Today was the best option for my schedule","Q18_I wanted to wait to learn more about the candidates,Today was the best option for my schedule,I did not feel like I had all the information necessary to vote early or by mail",Q18_Today was the best option for my schedule,Q19_Definitely,Q19_Definitely Not,Q19_I would need more information to make a decision,Q19_Probably,Q19_Probably Not,Q20_Definitely,Q20_Definitely Not,Q20_I would need more information to make a decision,Q20_Probably,Q20_Probably Not
1,15,24,15,7,9,10,45,32,3,0,22,58,1,6,1,3,0,2,69,20,1,12,1,0,4,1,13,1,34,10,1,1,25,6,19,12,16,22,8,57,18,1,3,1,14,21,34,10,8,7,41,9,15,5,73,1,22,6,7,21,23,21,3,40,7,8,2,0,20,2,55,7,1,24,2,45,2,21,1,47,23,25,1,0,0,3,0,2,0,41,0,4,0,0,0,0,0,2,3,2,1,1,7,0,0,0,12,63,2,4,7,2,31,6,14,15,12
11,1,3,6,5,6,2,16,7,0,0,7,15,0,1,8,11,0,1,3,1,0,6,0,1,0,1,7,3,1,1,8,0,3,6,2,0,11,5,4,12,3,4,2,1,8,3,3,6,0,5,7,7,3,5,14,1,10,3,3,2,3,5,7,7,1,2,4,2,5,1,9,2,0,7,3,9,0,12,4,7,7,5,1,2,0,1,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,16,0,1,1,3,6,1,8,6,0
12,1,2,9,4,5,6,11,16,0,0,11,16,0,0,2,4,0,1,20,3,0,9,0,0,1,1,5,0,11,0,2,1,8,4,4,8,4,7,2,11,10,1,4,2,5,10,5,4,2,1,11,9,3,6,17,3,9,4,2,7,4,9,4,11,2,1,0,0,8,0,19,1,0,11,0,15,1,4,3,16,6,7,0,0,0,2,0,1,0,16,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,14,0,6,6,1,13,3,5,5,1
14,4,3,9,7,9,4,20,15,0,1,19,17,1,1,3,4,0,2,25,3,0,15,0,0,0,2,5,2,11,1,4,0,4,14,9,4,2,15,4,17,13,2,2,1,8,8,9,8,1,5,17,7,4,5,28,1,11,3,3,6,12,7,4,15,3,6,2,1,14,0,19,4,0,13,2,17,0,10,0,13,13,15,0,0,0,1,0,0,0,20,1,1,0,0,0,0,0,0,1,0,0,1,2,1,0,0,8,20,2,8,2,4,12,4,8,8,4
15,5,4,13,3,2,0,15,11,1,0,8,19,1,3,4,13,1,2,7,2,1,5,0,0,0,3,8,0,7,1,5,1,3,10,8,1,6,5,7,16,3,3,4,1,9,6,8,3,1,4,9,10,3,8,15,3,4,1,4,13,5,11,4,8,2,2,2,2,14,1,8,9,0,9,3,5,1,9,3,12,14,4,0,1,0,2,0,0,1,15,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,2,15,3,2,4,2,11,3,2,8,2
3,7,11,21,11,16,6,45,27,0,0,25,45,3,2,17,13,2,2,42,7,1,11,0,0,6,5,18,6,17,7,5,1,19,17,16,15,10,13,17,54,12,0,5,1,17,22,15,16,6,8,34,6,16,8,59,3,27,10,6,14,15,8,7,36,13,8,1,3,22,4,41,5,4,30,2,30,2,21,5,31,25,21,3,1,0,4,1,0,0,37,0,1,2,0,0,0,0,2,0,0,0,0,5,0,0,0,15,49,3,3,9,4,18,6,13,24,7
5,5,4,29,14,18,13,45,35,2,1,39,44,2,4,13,27,0,7,38,6,2,23,1,2,2,4,29,9,19,4,9,2,20,19,28,3,16,26,5,48,19,1,14,6,18,21,18,15,4,12,37,15,11,20,56,6,33,8,4,22,14,18,15,34,3,12,4,0,36,5,36,10,1,31,7,32,4,25,4,37,30,22,0,1,1,4,0,0,0,55,0,2,0,2,0,1,0,0,2,1,0,1,2,1,0,0,6,46,9,7,11,6,25,4,17,20,13
6,7,13,16,11,13,9,47,21,1,0,20,48,0,1,14,30,0,3,19,5,0,18,0,2,1,2,23,7,10,2,13,6,11,18,12,1,12,25,17,39,17,0,11,6,17,22,13,8,7,9,27,12,12,18,43,5,32,8,3,17,7,10,8,25,8,15,6,4,18,5,32,11,5,24,5,20,5,11,4,23,27,19,1,0,0,1,0,0,0,53,0,1,0,2,0,0,0,0,0,1,0,0,3,1,0,0,1,34,10,6,11,4,17,8,13,17,11
7,0,0,0,3,6,3,10,2,0,0,2,10,2,0,3,7,0,0,2,0,0,7,0,0,0,2,3,1,1,0,2,2,0,6,0,0,1,0,11,9,0,0,3,1,0,6,1,4,1,1,4,2,4,3,9,0,5,0,0,2,4,2,1,6,1,2,1,1,4,1,4,1,1,4,1,3,0,3,1,2,3,4,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,4,1,6,2,3,1,0
8,10,8,17,12,25,14,44,42,0,0,36,49,3,3,16,63,1,0,5,0,3,40,0,3,0,3,22,7,15,0,30,9,7,17,3,2,23,25,32,47,16,2,17,10,13,16,30,14,6,15,29,20,12,27,48,4,26,12,1,17,26,22,9,28,6,17,4,6,34,6,34,13,3,27,9,31,4,26,3,24,38,12,1,4,0,3,0,1,0,60,0,1,0,2,0,0,0,0,0,0,1,0,3,1,0,0,1,43,9,12,14,7,28,7,17,23,8
9,9,1,6,9,14,3,20,22,0,0,12,29,1,4,5,17,1,0,15,4,3,9,0,0,0,2,9,4,9,2,8,3,5,11,5,3,9,11,13,24,13,1,2,5,12,6,5,13,6,3,14,9,9,6,26,6,6,8,4,14,8,7,6,16,4,8,2,3,16,2,19,7,3,13,2,17,0,17,1,14,17,7,3,1,0,2,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,29,2,3,6,1,24,0,5,9,3
